Name of the Company,Address,Phone,Business Types
Rajiv Handloom Industry,"Address: Guru Ravidas Road, Near Amar Bhawan Chowk, Panipat HO, Panipat - 132103, Near Ravidas School","Phone: +919215018972, +919215077972, +919034091600","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers"
Shri Ram Krishna Fabs,"Address: 498/4, Circular Ropad, Near Amar Bhawan Chowk, Panipat G T Road, Panipat - 132103, Panipat","Phone: 1802001484, +919416018450","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Furnishing Fabric Manufacturers"
Gurunanak Bed Sheet,"Address: 813/7 Panipat, S.D. College Road, G T Road, Panipat - 132103, Panipat Amar Bhavan Chowk","Phone: +919034810064, +919034499091, +919991341245","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers"
New sneha trader,"Address: 7, Shagun Shopping Plaza Market, Amar Bhawan Chowk, Panipat G T Road, Panipat - 132103, Panipat","Phone: +919254118310, +919254018310","Tags: Bed Cover Manufacturers, Bed Sheet Manufacturers, Bed Sheet Retailers"
Ganpati Overseas,"Address: Opp. Pan Food, Behind Swastik Spin Mills, Panipat Haryana, Panipat - 132103, G.t. Road, Panipat - 132 103 India",Phone: 1802666470,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers"
Shree Ram Furnishing,"Address: House No-402/4, Gohana Road, Panipat - 132103, Raj Putana Bazar, Amar Bhawan Chowk","Phone: +919034130157, +919253040781, +919254478889","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Furnishing Fabric Manufacturers"
Mittal handloom inds.,"Address: 44-45, Pachranga Bazar, Pachranga Bazar, Panipat - 132103, Panipat","Phone: +917206757905, 9729111007","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Bed Sheet Wholesalers"
Ashish Handloom Inds.,"Address: Khail Bazar, Near Sethi Chowk, Sethi Chowk, Panipat - 132107, Panipat","Phone: +919812700568, 9416001387","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers"
A- Fabs India,"Address: Plot No.-797, Main Assandh Road, Near St. Marry Public School, Across Both Canal, Panipat- 132103, Assandh Road, Panipat - 132103",Phone: +917404490797,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Carpet Manufacturers"
Rajesh Handloom House,"Address: Shop No. 152, S.D. College Road, Panipat City, Panipat - 132103",Phone: +919729741665,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Indian Home Furnishing,"Address: Shop No- 44, Devi Mandir Road, Barsat Road, panipat - 132103, Near Bichpidi Chowk",Phone: +917015723621,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Ginni Enterprises,"Address: 8633plot No, Pehelwan Chowk, Kutani Road, Panipat - 132103, Prem Palace Gali","Phone: +919896044469, +917988406264","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Swaraj Handlooms,"Address: Sanoli Road, Panipat - 132104, Chandni Bagh","Phone: +919416004443, +919254500015","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Divine Creations,"Address: Plot No. 82, Sector 25, Part-2, Huda, Industrial Area, Panipat- 132103, Industrial Area, Panipat - 132101",Phone: +919643008313,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Fabric Manufacturers"
Vintage,"Address: Plot No. 92, Sector-29 Part-1, Huda, Panipat- 132103, Panipat HO, Panipat - 132103",Phone: +919896390496,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
J B D Exports,"Address: Sir Chotu Ram Chowk, mohan Nagar, Babail Road, Panipat HO, Panipat - 132103",Phone: +919416651901,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Marvel Home Furnishing,"Address: Plot No.164, Sector 12, Panipat- 132103, Panipat HO, Panipat - 132103",Phone: 1804002741,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Raghav Textiles,"Address: No. 940, Nhbc, Sector- 11, Panipat- 132 103, Panipat HO, Panipat - 132103",Phone: +919896955531,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Glory Bedding Collection,"Address: O-50, Assandh Road, Panipat - 132103, Industrial Area, Near Old Court","Phone: +919996024203, 9996025203","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Parkash Fabrics,"Address: Plot Number- 24, Huda, Panipat - 132104, Industrial Area, Sector 25, Part 1, Near G T Road","Phone: 1802663383, +919416017383","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Antique Art Exports Private Limted,"Address: 78 K.M. Stone, G.T. Road, Karhans Village, Tehsil Samalkha, Tehsil Samalkha, Panipat- 132103, Samalkha, Panipat - 132101",Phone: +919999997754,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Pragya Textile Industriespanip,"Address: Plot -67, Sector -29, Part -2, HUDA Sector 29, Panipat - 132103, Near Danik Jagran Office",Phone: +919991002078,"Tags: Bed Sheet Manufacturers, Home Furnishing Manufacturers"
Manik Handloom Shawl Store,"Address: Pachranga Bazar, Panipat - 132103, Near Valmiki Mandir",Phone: +918708055256,Tags: Bed Sheet Manufacturers
Lovely Handloom,"Address: S.D. College Road, Panipat City, Panipat - 132103",Phone: +919728348324,Tags: Bed Sheet Manufacturers
M K Fabrics,"Address: Plot No. 455, Sector 29, Part 2, Hura, Panipat - 132103, Huda",Phone: +919813441066,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Mink Blanket Manufacturers"
The Navkar Handloom P C I S Ltd,"Address: Gali No. 3, Sanoli Road, Panipat - 132103",Phone: +919813047553,Tags: Bed Sheet Manufacturers
Chinar Handicrafts,"Address: Gali No. 13, Plot No. 86, Sanoli Road, Panipat - 132103, Huda",Phone: +919034837487,Tags: Bed Sheet Manufacturers
Yati Ovresage,"Address: Vill Jhamba Sanoli Khurd Panipat, Sanoli Khurd, Panipat - 132103",Phone: +918930738621,Tags: Bed Sheet Manufacturers
Velmora Group,"Address: 281, Sector 25, Panipat - 132103, Huda",Phone: +919034201455,"Tags: Bed Sheet Manufacturers, Carpet Manufacturers"
Gagan Textiles,"Address: Panitah, Kotani Road, Panipat - 132103",Phone: +917206258476,Tags: Bed Sheet Manufacturers
Bhardwaj Textiles,"Address: Panipat - 132103, Near N.F.L Town Gate",Phone: +919034210473,Tags: Bed Sheet Manufacturers
Ind Fab Creations,"Address: Sector-11, Panipat - 132103",Phone: +917015643078,Tags: Bed Sheet Manufacturers
Gk Handloom,"Address: Ward No. 12, Dhuptin Nagar, Hali Colony, Sanoli Road, Panipat - 132103",Phone: +919813324911,Tags: Bed Sheet Manufacturers
Lal Ji Bed Sheet,"Address: G T Road, Panipat - 132103",Phone: +917015489921,Tags: Bed Sheet Manufacturers
Om Tax India,"Address: Plot No 453/20, Old Guhana Road, Panipat - 132103",Phone: +919416065101,"Tags: Bed Sheet Manufacturers, Sofa Cover Dealers"
Shree Ganesh Furnishing,"Address: H.No 628 Dutta Colony Panipat, Panipat - 132103, Near Sent Mary School",Phone: +918398022574,Tags: Bed Sheet Manufacturers
Sachin Trader’s,"Address: 373/11, Panipat - 132103, Near Gurudwara Rani Mahal",Phone: +919034612354,"Tags: Bed Sheet Manufacturers, Sofa Cover Dealers"
M Y Textile,"Address: Deshraj Colony, Panipat - 132103",Phone: +917206526111,Tags: Bed Sheet Manufacturers
Exotic Enterprises,"Address: Kacha Kabri Fatak, Kabri, Panipat - 132103",Phone: +919991111318,Tags: Bed Sheet Manufacturers
Seva Ram Product,"Address: Khasra No 555 Tej Vihar Colony Badail Road, Bhagat Nagar, Panipat - 132103",Phone: +919896701008,Tags: Bed Sheet Manufacturers
Shree Maruti Textile,"Address: Mahaveer Colony, Jatal Road, Jattal Road, Panipat - 132103, Near By Sanjay Chowk",Phone: +919896954001,Tags: Bed Sheet Manufacturers
Vardan Handloom,"Address: 39 bhawna chawk devi mandir road, tej colony, Panipat HO, Panipat - 132103, Behind Nihang Singh Gurudwara","Phone: +919416009160, +919416952032",Tags: Bed Sheet Manufacturers
Bharat Trading Company,"Address: Shop No. 560/4, Circular Road, Near Amar Bhawan Chowk, Panipat Gt Road, Panipat - 132103, Panipat","Phone: 1804004074, 1804015129, +919896252434","Tags: Bed Sheet Manufacturers, Trading Companies"
Hari Textile,"Address: No. 2958, New Housing Board Colony, Huda, Panipat - 132103",Phone: +917404361360,Tags: Bed Sheet Manufacturers
Meena Traders,"Address: House 1263 Sector 12, New Housing Board Colony, New Housing Board Colony, Panipat - 132103",Phone: +917494914343,"Tags: Bed Sheet Manufacturers, Cushion Cover Manufacturers, Sofa Cover Dealers"
Asha Handloom,"Address: Plot No. 63, Gali No.8, Baljeet Naga, Sanoli Road, Panipat - 132104, Opposite Malik Petrol Pump Sanoli Road Panipat","Phone: +919588771073, 9466095509","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Deco Overseas,"Address: Noorwala, panipat- 132103, Barsat Road, Panipat - 132103",Phone: +919215043487,Tags: Bed Sheet Manufacturers
Pushkar Trader,"Address: 478a/4, Amar Bhawan Chowk, Panipat G T Road, Panipat - 132103, Panipat","Phone: +919354911364, 9896612433",Tags: Bed Sheet Manufacturers
Juneja Handloom Industry,"Address: Shop No - 2, Sankar Markit, Panipat HO, Panipat - 132103, Near Satranga Bazar","Phone: +919896247775, +919812319000",Tags: Bed Sheet Manufacturers
P K Handloom,"Address: Babail Road, Panipat HO, Panipat - 132103, Near Mittal Dential Clinic",Phone: +919896317546,Tags: Bed Sheet Manufacturers
Ansari Products,"Address: 948/10, Ek Minar Masjid, Kutani Road, Panipat - 132103, Behind Dr Rk School","Phone: +919896127084, +919034773810",Tags: Bed Sheet Manufacturers
oberoi loomtex,"Address: 694/11, Kutani Road, Panipat - 132103, pvs computer","Phone: +917206811616, +917206666907",Tags: Bed Sheet Manufacturers
Vikram Textile,"Address: 460/10, Ward No 11, Panipat HO, Panipat - 132103, Near Chawla Colony, ,Near New Sabji Mandi","Phone: +919255889667, +919416159970",Tags: Bed Sheet Manufacturers
N Tex,"Address: 203, Jattal Road, Panipat - 132103, Near V B Plaza","Phone: +919896600047, 9254901439",Tags: Bed Sheet Manufacturers
Sgl Healthcare Pvt Ltd,"Address: 54 B, Prakash Nagar, Tehsil Town, Panipat - 132103",Phone: +919215090585,"Tags: Bed Sheet Manufacturers, Door MAT Manufacturers"
Gogya Handloom Industry,"Address: 266/7, Near Amar Bhawan Chowk, Main Bazar Panipat, Panipat - 132103, Panipat",Phone: +919315341241,Tags: Bed Sheet Manufacturers
Himanshu Handloom,"Address: saini colony, Panipat HO, Panipat - 132103, near saholi road","Phone: +919996307000, +919728907007",Tags: Bed Sheet Manufacturers
Sandhya Handloom Industries,"Address: No. 476, Sector 29, Huda, Part 2, Panipat - 132103","Phone: +919896480688, 9416007639",Tags: Bed Sheet Manufacturers
Radhey Radhey Fabrics,"Address: Gali Number-1, Sanoli Road, Panipat City, Panipat - 132103, Near Ganesh Nagar","Phone: 1804016437, +919991111195, +918950000155",Tags: Bed Sheet Manufacturers
Kesho Enterprises,"Address: chotu ram chowk, Rajkheri, Panipat - 132103",Phone: +919813865315,Tags: Bed Sheet Manufacturers
Aashirwad Enterprises,"Address: Ugra Kheri Road, Panipat - 132103",Phone: +919034317316,Tags: Bed Sheet Manufacturers
Pooja Enterprises,"Address: 42, 1st Floor, Bajrang Market, Sat Kartar Nagar, Panipat - 132103",Phone: +919416308773,"Tags: Bed Sheet Manufacturers, Door MAT Manufacturers"
Preet Traders,"Address: 320/7, Sethi Chowk, Sethi Chowk, Panipat - 132103, Near Kataria Medical Store",Phone: +918607002828,"Tags: Bed Sheet Manufacturers, Mink Blanket Manufacturers, Prayer MAT Manufacturers"
Jv Textile,"Address: Patel Nagar, Patel Nagar, Panipat - 132103",Phone: +918950088765,Tags: Bed Sheet Manufacturers
Mico Handloom Industries,"Address: Ganga Puri Road, Panipat - 132103",Phone: +919896629580,Tags: Bed Sheet Manufacturers
M S Loom Industries,"Address: Panchranga Bazzar, Gurudwara Road, Panipat - 132103",Phone: +919416221362,"Tags: Bed Sheet Manufacturers, Woollen Blanket Manufacturers"
Angel Textile,"Address: 641, Model Town, Panipat - 132145, Choudhary Chowk","Phone: 1802656468, +919650231035",Tags: Bed Sheet Manufacturers
Lalit Handloom,"Address: Factory 306/5, Sanoli Road, Panipat - 132102, Near Chandni Bagh",Phone: +917015002546,Tags: Bed Sheet Manufacturers
Shree ram handloom,"Address: Gohana road, Gohana Road, Panipat - 132103, Near gohana road",Phone: +919728887575,"Tags: Bed Sheet Manufacturers, Curtain Manufacturers"
New Obrai Loomtex,"Address: Plot No 464/11, Chitani Road, Kutani Road, Panipat - 132103, Near Kutani Road 11 Ward Panipat",Phone: +917206811616,"Tags: Bed Sheet Manufacturers, Mink Blanket Manufacturers"
Nsb Enterprises,"Address: Pachranga Bazar, Pachranga Bazar, Panipat - 132103, Near Shiv Mandir",Phone: +919050105432,"Tags: Bed Sheet Manufacturers, Mink Blanket Manufacturers"
Arjun Fabricators,"Address: Panipat Camp, Haryana, Panipat Camp, Panipat - 132103",Phone: +919254900165,Tags: Bed Sheet Manufacturers
Duli Chand Textile,"Address: Arjun Nagear, Kabri Road, Kabri, Panipat - 132103, Industrial Area",Phone: +919996632163,"Tags: Bed Sheet Manufacturers, Mink Blanket Manufacturers, Prayer MAT Manufacturers"
Balaji Textile,"Address: Ekta Vihar, Ujha Road, Ujha, Panipat - 132103",Phone: +919813806773,"Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Furnishing Fabric Manufacturers"
Rahul Enterprises,"Address: Shop No-470/4, Amar Bhawan Chowk Area, Panipat - 132103",Phone: +919253055589,"Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Cushion Cover Manufacturers"
Victo Velvet Pvt Ltd,"Address: Sec.172 Gt Road, Panipat - 132103",Phone: +919812436174,Tags: Bed Sheet Manufacturers
Ransh Textile,"Address: Pachranga Bazar, Panipat - 132103, Pachranga Bazar",Phone: +919812100966,"Tags: Bed Sheet Manufacturers, Woollen Blanket Manufacturers"
Satyaam Textiles,"Address: Sardar Mool Singh Nagar, Ugra Khedi Morh, Sardar Mool Singh Nagar, Panipat - 132103",Phone: +917404339424,"Tags: Bed Sheet Manufacturers, Bedspread Manufacturers"
S G Internationals,"Address: 1577, Huda, Huda, Sector 25, Panipat - 132103",Phone: +917206502226,"Tags: Bed Sheet Manufacturers, Sofa Cover Dealers"
Poonam Handloom,"Address: Mukhija Colony, Jatal Road, Panipat - 132103",Phone: +919953445370,"Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Mink Blanket Manufacturers"
Pearl Fabe,"Address: Asand Road, Road Number 2, Model Town, Panipat - 132103, Near Kacha Camp","Phone: +918168886327, 9034608964","Tags: Bed Sheet Manufacturers, Curtain Manufacturers"
Babbal Texo Fabs,"Address: Khail Bazar, Sethi Chowk, Sethi Chowk, Panipat - 132107, Panipat",Phone: +919812324914,Tags: Bed Sheet Manufacturers
Dawar Textiles,"Address: O - 36 Industrai Area, Industrial Area, Panipat - 132101, Panipat","Phone: +919896677491, +919896251284","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Kg Hometex,"Address: Devpuri Road, HUDA Sector 12, Panipat - 132103",Phone: +917027111135,Tags: Bed Sheet Manufacturers
Usha Textile Mills,"Address: 20/14, Ujha Road, Panipat - 132104","Phone: +919991666670, +919991600033","Tags: Bed Cover Manufacturers, Bed Sheet Manufacturers"
S A FAB India,"Address: 111 S D School Market, Panipat City, Panipat - 132103","Phone: 1802694341, 1804009111, +919416105263",Tags: Bed Sheet Manufacturers
Dimple Textile,"Address: Guru Ravi Dass Road, Panipat City, Panipat - 132103","Phone: 1802631505, 1804007705, +919416866460",Tags: Bed Sheet Manufacturers
Delite International,"Address: Pasina Kalan G.t. Road, Panipat - 132103",Phone: 1802575760,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Rug Manufacturers"
Hari Loomtex,"Address: Factory Number 483, Panipat Sector 25 Part 2, Panipat - 132103, Huda",Phone: +919996128282,"Tags: Bed Sheet Manufacturers, Sofa Cover Dealers"
Darshan Textile,"Address: Gali No-2, Main Rd, Panipat HO, Panipat - 132103, Captain Ngr, Rajiv Clny","Phone: +919991700332, 9991800332, 9050900772",Tags: Bed Sheet Manufacturers
Sachkhand Textiles,"Address: 920/7 Behind Ibl Public School, Panipat HO, Panipat - 132103","Phone: 1804009947, +919896009218",Tags: Bed Sheet Manufacturers
Panna Handloom Inds,"Address: 1068/3, Panipat HO, Panipat - 132103, Pachranga Bzr","Phone: +919253100675, 9812329483",Tags: Bed Sheet Manufacturers
Shri mahadev handloom inds,"Address: H No. 915/7, Panipat HO, Panipat - 132103","Phone: 1802694251, +919215623001, +919416223056, +919416223078","Tags: Bed Cover Case Manufacturers, Bed Sheet Manufacturers"
Fresh Line International,"Address: Panipat H O, Panipat HO, Panipat - 132103",Phone: +919896372227,Tags: Bed Sheet Manufacturers
Cee BEE International,"Address: Panipat H O, Panipat HO, Panipat - 132103",Phone: +918814835430,Tags: Bed Sheet Manufacturers
Gian Textiles,"Address: Panipat H O, Panipat HO, Panipat - 132103",Phone: +918377804731,"Tags: Bed Cover Manufacturers, Bed Sheet Manufacturers"
Raadhika Furnishing,"Address: Plot No - 2 Behind Sabzi Mandi, Panipat HO, Panipat - 132103, Nea Ganesh Mandir Panipat",Phone: +919896431600,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers"
Mangla Udyog,"Address: Kutani Road, Kutani Road, Panipat - 132103, Panipat",Phone: +919416316675,Tags: Bed Sheet Manufacturers
Seven Springs Mills,"Address: Plot 3391, Jatal Road, Panipat HO, Panipat - 132103, Near Sanjay Chowk","Phone: +919416018142, +918950711000","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Mink Blanket Manufacturers"
J B Textiles,"Address: 102, Sector 11, Huda, Panipat - 132103",Phone: +919034104407,Tags: Bed Sheet Manufacturers
Reflection India,"Address: 128, Virat Nagar, Model Town, Model Town, Panipat - 132103, Panipat - 132 103, Haryana (India)","Phone: 1802653125, 1803113394","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Carpet Dealers"
Nayyar Handloom Fabrics,"Address: 118, Sukhdev Nagar, Panipat - 132103","Phone: +919416276727, +919991310010","Tags: Bed Cover Case Manufacturers, Bed Sheet Manufacturers, Handloom Retailers"
Vinny loomtex,"Address: Shop No 1, Near Amar Bhawan Chowk, Main Bazar Panipat, Panipat - 132103, Panipat","Phone: +919215038838, 9215838838",Tags: Bed Sheet Manufacturers
Richa Fabrics,"Address: St No-1, Sanoli Road, Panipat - 132104, Chandni Bagh, Ganesh Ngr","Phone: 1804006437, +919416030075, +919254111115",Tags: Bed Sheet Manufacturers
Manoj Textile Corp,"Address: 283/7, Panipat City, Panipat - 132103, Nr Sethi Chowk","Phone: 1804009687, +917206200072, 9416801209",Tags: Bed Sheet Manufacturers
Pipal Textile And Home Decor,"Address: Plot No 404, Huda, Panipat - 132104, Huda Sector 29, Part II",Phone: +918425844834,Tags: Bed Sheet Manufacturers
Arora Enterprises,"Address: Shop No. 412/7, Ram Mandir Road, Panipat City, Panipat - 132103",Phone: +919034592001,"Tags: Bed Sheet Manufacturers, Textile Machinery Spare Part Dealers"
Malik Textiles,"Address: Malik Sanoli Road, Panipat - 132103",Phone: +919416017294,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers"
Exports Today,"Address: Panipat HO, Panipat - 132103",Phone: +919810988518,"Tags: Bed Sheet Manufacturers, Dhurrie Manufacturers, Home Furnishing Manufacturers"
Sanjay Textiles,"Address: Kutani Road, Kutani Road, Panipat - 132103, Pehalwan Chowk","Phone: +919416292835, 9992300410",Tags: Bed Sheet Manufacturers
Naman Texo Fab,"Address: 573/8, Sethi Chowk, Sethi Chowk, Panipat - 132107, Panipat","Phone: +919354930132, 9315617552",Tags: Bed Sheet Manufacturers
Kesri Transcontinental,"Address: Sector-24, Huda, Panipat - 132104, Near Aggarwal Bhawan",Phone: +919050009486,"Tags: Bed Sheet Manufacturers, Furnishing Fabric Manufacturers"
Raghunayak Fabrics,"Address: 994/13, Mahavir Colony Behindkishore Cinema, Mahavir Bazar, Panipat - 132145",Phone: 1805002980,"Tags: Bed Sheet Manufacturers, Fleece Blanket Dealers"
K R Jain &amp; Sons,"Address: 948/3, Luci Gali, Pachranga Bazar, Panipat - 132103, Opp. PNB Bank ATm","Phone: 1802632997, +918053808003, +919728335727","Tags: Bed Sheet Manufacturers, Shawl Wholesalers"
Hb Handloom Industries,"Address: Building No 58, Gali No 7, Gangapuri Road, Panipat Nfl, Panipat - 132103, Near Shiv Mandir","Phone: +918168587184, 7206388008","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Woollen Blanket Manufacturers"
Dev Textile,"Address: Shop No 512/1, Insaar Chowk Market, Panipat - 132103, Near Salarganj Gate, Opposite Bus Stand","Phone: +919053468029, 8168132651, 9750000662, 9750000663","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Handloom Manufacturers"
Pankaj Texofab,"Address: Plot-No. 465-466 Sec-29, Part 2 Panipat, Dhoop Singh Nagar Galli No 1 Sanoli Road Panipat","Phone: 9671276800, 9671556700, 8950500053","Tags: Bed Sheet Manufacturers, Carpet Manufacturers"
Vinay Multitex,"Address: 465-466 sec 29 part 2 panipat,DHOOP SINGH NAGAR GALLI NO 1,sanoli road panipat","Phone: 9671276800, 9671556700, 895050054","Tags: Bed Sheet Manufacturers, Carpet Manufacturers"
Gold Spin India Pvt Ltd,"Address: H 7 10, Industrial Area Near Pakka Fatak, Panipat - 132103","Phone: +919255105769, 9896600025","Tags: Bed Sheet Manufacturers, Fleece Blanket Dealers, Mink Blanket Manufacturers"
Lucky Home Furnishing,"Address: Near Theramal Power Plant, Assandh Road, Panipat - 132103, Opp. Shiv Mandir","Phone: +919671964674, +918930044969","Tags: Bed Sheet Manufacturers, Curtain Dealers, Handloom Manufacturers"
